nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Bonsucesso;83.0;2012;7;-6,02375E+23;0.0;22.0;10.0;8.633.752.329.863.160;166.0;346.0;322.0;25.0;1.0;74.0;-6,02375E+18
Bonsucesso;36.0;2012;8;-6,02375E+23;26.0;21.0;8.0;8.633.752.329.863.160;83.0;166.0;346.0;22.0;0.0;73.0;-6,02375E+18
Bonsucesso;24.0;2012;9;-6,02375E+23;95.0;23.0;14.0;8.633.752.329.863.160;36.0;83.0;166.0;21.0;26.0;68.0;-6,02375E+18
Bonsucesso;15.0;2012;10;-6,02375E+24;60.0;25.0;52.0;8.633.752.329.863.160;24.0;36.0;83.0;23.0;95.0;65.0;-6,02375E+18
Bonsucesso;11.0;2012;11;-6,02375E+24;94.0;24.0;90.0;8.633.752.329.863.160;15.0;24.0;36.0;25.0;60.0;64.0;-6,02375E+18
Bonsucesso;31.0;2012;12;-6,02375E+24;80.0;29.0;167.0;8.633.752.329.863.160;11.0;15.0;24.0;24.0;94.0;73.0;-6,02375E+18
BrÃ¡s De Pina;44.0;2012;1;-9,30867E+20;216.0;26.0;472.0;1.706.613.196.297.760;75.0;43.0;4.0;25.0;242.0;70.0;-9,30867E+15
BrÃ¡s De Pina;36.0;2012;2;-9,30867E+20;26.0;28.0;192.0;1.706.613.196.297.760;44.0;75.0;43.0;26.0;216.0;72.0;-9,30867E+15
BrÃ¡s De Pina;143.0;2012;3;-9,30867E+20;161.0;26.0;17.0;1.706.613.196.297.760;36.0;44.0;75.0;28.0;26.0;61.0;-9,30867E+15
BrÃ¡s De Pina;222.0;2012;4;-9,30867E+20;24.0;25.0;8.0;1.706.613.196.297.760;143.0;36.0;44.0;26.0;161.0;69.0;-9,30867E+15
BrÃ¡s De Pina;261.0;2012;5;-9,30867E+20;1.0;23.0;4.0;1.706.613.196.297.760;222.0;143.0;36.0;25.0;24.0;74.0;-9,30867E+15
BrÃ¡s De Pina;107.0;2012;6;-9,30867E+20;1.0;25.0;2.0;1.706.613.196.297.760;261.0;222.0;143.0;23.0;1.0;74.0;-9,30867E+15
BrÃ¡s De Pina;18.0;2012;7;-9,30867E+20;0.0;22.0;4.0;1.706.613.196.297.760;107.0;261.0;222.0;25.0;1.0;74.0;-9,30867E+15
BrÃ¡s De Pina;5.0;2012;8;-9,30867E+20;26.0;21.0;43.0;1.706.613.196.297.760;18.0;107.0;261.0;22.0;0.0;73.0;-9,30867E+15
BrÃ¡s De Pina;10.0;2012;9;-9,30867E+20;95.0;23.0;75.0;1.706.613.196.297.760;5.0;18.0;107.0;21.0;26.0;68.0;-9,30867E+15
BrÃ¡s De Pina;2.0;2012;10;-9,30867E+21;60.0;25.0;44.0;1.706.613.196.297.760;10.0;5.0;18.0;23.0;95.0;65.0;-9,30867E+15
BrÃ¡s De Pina;7.0;2012;11;-9,30867E+21;94.0;24.0;36.0;1.706.613.196.297.760;2.0;10.0;5.0;25.0;60.0;64.0;-9,30867E+15
BrÃ¡s De Pina;12.0;2012;12;-9,30867E+21;80.0;29.0;143.0;1.706.613.196.297.760;7.0;2.0;10.0;24.0;94.0;73.0;-9,30867E+15
Cachambi;10.0;2012;1;908574871700831799120121;216.0;26.0;87.0;19.132.177.139.809.700;12.0;6.0;5.0;25.0;242.0;70.0;9085748717008317991
Cachambi;57.0;2012;2;908574871700831799120122;26.0;28.0;53.0;19.132.177.139.809.700;10.0;12.0;6.0;26.0;216.0;72.0;9085748717008317991
Cachambi;88.0;2012;3;908574871700831799120123;161.0;26.0;27.0;19.132.177.139.809.700;57.0;10.0;12.0;28.0;26.0;61.0;9085748717008317991
Cachambi;184.0;2012;4;908574871700831799120124;24.0;25.0;9.0;19.132.177.139.809.700;88.0;57.0;10.0;26.0;161.0;69.0;9085748717008317991
Cachambi;231.0;2012;5;908574871700831799120125;1.0;23.0;3.0;19.132.177.139.809.700;184.0;88.0;57.0;25.0;24.0;74.0;9085748717008317991
Cachambi;124.0;2012;6;908574871700831799120126;1.0;25.0;3.0;19.132.177.139.809.700;231.0;184.0;88.0;23.0;1.0;74.0;9085748717008317991
Cachambi;22.0;2012;7;908574871700831799120127;0.0;22.0;5.0;19.132.177.139.809.700;124.0;231.0;184.0;25.0;1.0;74.0;9085748717008317991
Cachambi;16.0;2012;8;908574871700831799120128;26.0;21.0;6.0;19.132.177.139.809.700;22.0;124.0;231.0;22.0;0.0;73.0;9085748717008317991
Cachambi;7.0;2012;9;908574871700831799120129;95.0;23.0;12.0;19.132.177.139.809.700;16.0;22.0;124.0;21.0;26.0;68.0;9085748717008317991
Cachambi;5.0;2012;10;9085748717008317991201210;60.0;25.0;10.0;19.132.177.139.809.700;7.0;16.0;22.0;23.0;95.0;65.0;9085748717008317991
Cachambi;4.0;2012;11;9085748717008317991201211;94.0;24.0;57.0;19.132.177.139.809.700;5.0;7.0;16.0;25.0;60.0;64.0;9085748717008317991
Cachambi;5.0;2012;12;9085748717008317991201212;80.0;29.0;88.0;19.132.177.139.809.700;4.0;5.0;7.0;24.0;94.0;73.0;9085748717008317991
Camorim;4.0;2012;1;-8,84994E+23;216.0;26.0;78.0;2.256.853.914.829.730;6.0;7.0;9.0;25.0;242.0;70.0;-8,84994E+18
Camorim;6.0;2012;2;-8,84994E+23;26.0;28.0;63.0;2.256.853.914.829.730;4.0;6.0;7.0;26.0;216.0;72.0;-8,84994E+18
Camorim;5.0;2012;3;-8,84994E+23;161.0;26.0;11.0;2.256.853.914.829.730;6.0;4.0;6.0;28.0;26.0;61.0;-8,84994E+18
Camorim;17.0;2012;4;-8,84994E+23;24.0;25.0;8.0;2.256.853.914.829.730;5.0;6.0;4.0;26.0;161.0;69.0;-8,84994E+18
Camorim;6.0;2012;5;-8,84994E+23;1.0;23.0;5.0;2.256.853.914.829.730;17.0;5.0;6.0;25.0;24.0;74.0;-8,84994E+18
Camorim;2.0;2012;6;-8,84994E+23;1.0;25.0;4.0;2.256.853.914.829.730;6.0;17.0;5.0;23.0;1.0;74.0;-8,84994E+18
Camorim;0.0;2012;7;-8,84994E+23;0.0;22.0;9.0;2.256.853.914.829.730;2.0;6.0;17.0;25.0;1.0;74.0;-8,84994E+18
