nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Bento Ribeiro;2.0;2012;10;-2732916316749704959201210;60.0;25.0;194.0;146.03530515504642;7.0;8.0;13.0;23.0;95.0;65.0;-2732916316749704959
Bento Ribeiro;2.0;2012;11;-2732916316749704959201211;94.0;24.0;432.0;146.03530515504642;2.0;7.0;8.0;25.0;60.0;64.0;-2732916316749704959
Bento Ribeiro;3.0;2012;12;-2732916316749704959201212;80.0;29.0;421.0;146.03530515504642;2.0;2.0;7.0;24.0;94.0;73.0;-2732916316749704959
Bonsucesso;52.0;2012;1;-602375385644848451820121;216.0;26.0;100.0;86.33752329863162;14.0;8.0;10.0;25.0;242.0;70.0;-6023753856448484518
Bonsucesso;90.0;2012;2;-602375385644848451820122;26.0;28.0;69.0;86.33752329863162;52.0;14.0;8.0;26.0;216.0;72.0;-6023753856448484518
Bonsucesso;167.0;2012;3;-602375385644848451820123;161.0;26.0;14.0;86.33752329863162;90.0;52.0;14.0;28.0;26.0;61.0;-6023753856448484518
Bonsucesso;322.0;2012;4;-602375385644848451820124;24.0;25.0;5.0;86.33752329863162;167.0;90.0;52.0;26.0;161.0;69.0;-6023753856448484518
Bonsucesso;346.0;2012;5;-602375385644848451820125;1.0;23.0;4.0;86.33752329863162;322.0;167.0;90.0;25.0;24.0;74.0;-6023753856448484518
Bonsucesso;166.0;2012;6;-602375385644848451820126;1.0;25.0;3.0;86.33752329863162;346.0;322.0;167.0;23.0;1.0;74.0;-6023753856448484518
Bonsucesso;83.0;2012;7;-602375385644848451820127;0.0;22.0;10.0;86.33752329863162;166.0;346.0;322.0;25.0;1.0;74.0;-6023753856448484518
Bonsucesso;36.0;2012;8;-602375385644848451820128;26.0;21.0;8.0;86.33752329863162;83.0;166.0;346.0;22.0;0.0;73.0;-6023753856448484518
Bonsucesso;24.0;2012;9;-602375385644848451820129;95.0;23.0;14.0;86.33752329863162;36.0;83.0;166.0;21.0;26.0;68.0;-6023753856448484518
Bonsucesso;15.0;2012;10;-6023753856448484518201210;60.0;25.0;52.0;86.33752329863162;24.0;36.0;83.0;23.0;95.0;65.0;-6023753856448484518
Bonsucesso;11.0;2012;11;-6023753856448484518201211;94.0;24.0;90.0;86.33752329863162;15.0;24.0;36.0;25.0;60.0;64.0;-6023753856448484518
Bonsucesso;31.0;2012;12;-6023753856448484518201212;80.0;29.0;167.0;86.33752329863162;11.0;15.0;24.0;24.0;94.0;73.0;-6023753856448484518
BrÃ¡s De Pina;44.0;2012;1;-930866560227268520121;216.0;26.0;472.0;170.6613196297768;75.0;43.0;4.0;25.0;242.0;70.0;-9308665602272685
BrÃ¡s De Pina;36.0;2012;2;-930866560227268520122;26.0;28.0;192.0;170.6613196297768;44.0;75.0;43.0;26.0;216.0;72.0;-9308665602272685
BrÃ¡s De Pina;143.0;2012;3;-930866560227268520123;161.0;26.0;17.0;170.6613196297768;36.0;44.0;75.0;28.0;26.0;61.0;-9308665602272685
BrÃ¡s De Pina;222.0;2012;4;-930866560227268520124;24.0;25.0;8.0;170.6613196297768;143.0;36.0;44.0;26.0;161.0;69.0;-9308665602272685
BrÃ¡s De Pina;261.0;2012;5;-930866560227268520125;1.0;23.0;4.0;170.6613196297768;222.0;143.0;36.0;25.0;24.0;74.0;-9308665602272685
BrÃ¡s De Pina;107.0;2012;6;-930866560227268520126;1.0;25.0;2.0;170.6613196297768;261.0;222.0;143.0;23.0;1.0;74.0;-9308665602272685
BrÃ¡s De Pina;18.0;2012;7;-930866560227268520127;0.0;22.0;4.0;170.6613196297768;107.0;261.0;222.0;25.0;1.0;74.0;-9308665602272685
BrÃ¡s De Pina;5.0;2012;8;-930866560227268520128;26.0;21.0;43.0;170.6613196297768;18.0;107.0;261.0;22.0;0.0;73.0;-9308665602272685
BrÃ¡s De Pina;10.0;2012;9;-930866560227268520129;95.0;23.0;75.0;170.6613196297768;5.0;18.0;107.0;21.0;26.0;68.0;-9308665602272685
BrÃ¡s De Pina;2.0;2012;10;-9308665602272685201210;60.0;25.0;44.0;170.6613196297768;10.0;5.0;18.0;23.0;95.0;65.0;-9308665602272685
BrÃ¡s De Pina;7.0;2012;11;-9308665602272685201211;94.0;24.0;36.0;170.6613196297768;2.0;10.0;5.0;25.0;60.0;64.0;-9308665602272685
BrÃ¡s De Pina;12.0;2012;12;-9308665602272685201212;80.0;29.0;143.0;170.6613196297768;7.0;2.0;10.0;24.0;94.0;73.0;-9308665602272685
Cachambi;10.0;2012;1;908574871700831799120121;216.0;26.0;87.0;191.32177139809792;12.0;6.0;5.0;25.0;242.0;70.0;9085748717008317991
Cachambi;57.0;2012;2;908574871700831799120122;26.0;28.0;53.0;191.32177139809792;10.0;12.0;6.0;26.0;216.0;72.0;9085748717008317991
Cachambi;88.0;2012;3;908574871700831799120123;161.0;26.0;27.0;191.32177139809792;57.0;10.0;12.0;28.0;26.0;61.0;9085748717008317991
Cachambi;184.0;2012;4;908574871700831799120124;24.0;25.0;9.0;191.32177139809792;88.0;57.0;10.0;26.0;161.0;69.0;9085748717008317991
Cachambi;231.0;2012;5;908574871700831799120125;1.0;23.0;3.0;191.32177139809792;184.0;88.0;57.0;25.0;24.0;74.0;9085748717008317991
Cachambi;124.0;2012;6;908574871700831799120126;1.0;25.0;3.0;191.32177139809792;231.0;184.0;88.0;23.0;1.0;74.0;9085748717008317991
Cachambi;22.0;2012;7;908574871700831799120127;0.0;22.0;5.0;191.32177139809792;124.0;231.0;184.0;25.0;1.0;74.0;9085748717008317991
Cachambi;16.0;2012;8;908574871700831799120128;26.0;21.0;6.0;191.32177139809792;22.0;124.0;231.0;22.0;0.0;73.0;9085748717008317991
Cachambi;7.0;2012;9;908574871700831799120129;95.0;23.0;12.0;191.32177139809792;16.0;22.0;124.0;21.0;26.0;68.0;9085748717008317991
Cachambi;5.0;2012;10;9085748717008317991201210;60.0;25.0;10.0;191.32177139809792;7.0;16.0;22.0;23.0;95.0;65.0;9085748717008317991
Cachambi;4.0;2012;11;9085748717008317991201211;94.0;24.0;57.0;191.32177139809792;5.0;7.0;16.0;25.0;60.0;64.0;9085748717008317991
Cachambi;5.0;2012;12;9085748717008317991201212;80.0;29.0;88.0;191.32177139809792;4.0;5.0;7.0;24.0;94.0;73.0;9085748717008317991
Camorim;4.0;2012;1;-884994167624083095420121;216.0;26.0;78.0;2.256853914829738;6.0;7.0;9.0;25.0;242.0;70.0;-8849941676240830954
Camorim;6.0;2012;2;-884994167624083095420122;26.0;28.0;63.0;2.256853914829738;4.0;6.0;7.0;26.0;216.0;72.0;-8849941676240830954
Camorim;5.0;2012;3;-884994167624083095420123;161.0;26.0;11.0;2.256853914829738;6.0;4.0;6.0;28.0;26.0;61.0;-8849941676240830954
